Timestamp,Feature,Value
0,AccelerationX,0.08770522456525566
1,AccelerationX,0.10931165904587851
2,AccelerationX,0.14044602712612642
3,AccelerationX,0.16532450565927034
4,AccelerationX,0.1799829300304595
5,AccelerationX,0.21678627105611814
6,AccelerationX,0.23979713205829334
7,AccelerationX,0.3017620092104353
8,AccelerationX,0.24745436075528796
9,AccelerationX,0.22636821524088055
10,AccelerationX,0.1695664781229362
11,AccelerationX,0.15830027743139202
12,AccelerationX,0.17032614892587014
13,AccelerationX,0.21053095311901215
14,AccelerationX,0.17353878701142988
15,AccelerationX,0.08240830696279322
16,AccelerationX,0.11953409160143832
17,AccelerationX,0.12001823041284375
18,AccelerationX,0.07970915793521663
19,AccelerationX,0.06867365370583386
20,AccelerationX,0.07941595526538121
21,AccelerationX,0.0823338365825286
22,AccelerationX,0.05863231403004877
0,AccelerationY,0.10985102666831828
1,AccelerationY,0.10944496294251949
2,AccelerationY,0.11645202504116317
3,AccelerationY,0.11190313660236867
4,AccelerationY,0.12836473281085936
5,AccelerationY,0.1763127361805572
6,AccelerationY,0.22979856735012463
7,AccelerationY,0.11605224387969465
8,AccelerationY,0.04334101557566444
9,AccelerationY,0.11032365734135448
10,AccelerationY,0.13679244931750237
11,AccelerationY,0.13893452808950607
12,AccelerationY,0.11029956609198838
13,AccelerationY,0.11386870277816899
14,AccelerationY,0.08562931080431867
15,AccelerationY,0.11666081353610204
16,AccelerationY,0.11970683872413439
17,AccelerationY,0.11394904608989334
18,AccelerationY,0.11284677762975115
19,AccelerationY,0.22276916027023524
20,AccelerationY,0.2154506560200388
21,AccelerationY,0.20461310623254866
22,AccelerationY,0.2121912586011384
0,AccelerationZ,0.11666358511924559
1,AccelerationZ,0.1287149001941198
2,AccelerationZ,0.12670655730603972
3,AccelerationZ,0.12305789335236551
4,AccelerationZ,0.10644776982769023
5,AccelerationZ,0.09354500509550241
6,AccelerationZ,0.11445864613125964
7,AccelerationZ,0.09537419185028045
8,AccelerationZ,0.09139769746998208
9,AccelerationZ,0.09815441247574878
10,AccelerationZ,0.09215622205857048
11,AccelerationZ,0.08571340896824307
12,AccelerationZ,0.0798975666220946
13,AccelerationZ,0.09711076883178274
14,AccelerationZ,0.12943218240869608
15,AccelerationZ,0.14223241383563878
16,AccelerationZ,0.14076747913100815
17,AccelerationZ,0.030137534332670725
18,AccelerationZ,0.0219907899881173
19,AccelerationZ,0.027471119866686152
20,AccelerationZ,0.05247439559460227
21,AccelerationZ,0.07874659983726737
22,AccelerationZ,0.09392604614299949
0,RRX,0.12930741242903562
1,RRX,0.14083654049326133
2,RRX,0.16074816933277847
3,RRX,0.16625401596498207
4,RRX,0.16262237341303817
5,RRX,0.13950256901230546
6,RRX,0.13723306059639445
7,RRX,0.1261175862375155
8,RRX,0.12024388947847522
9,RRX,0.1335267146780207
10,RRX,0.14191727420879865
11,RRX,0.16474652236551318
12,RRX,0.1624965586657881
13,RRX,0.12264733514056855
14,RRX,0.10540230454867415
15,RRX,0.12110151769400374
16,RRX,0.14441099077382807
17,RRX,0.17810307978483803
18,RRX,0.2285207961047269
19,RRX,0.23657195304329784
20,RRX,0.24434008076859565
21,RRX,0.24630800428543576
22,RRX,0.24077843693831932
0,RRY,0.19028329702307198
1,RRY,0.24004980012207883
2,RRY,0.24767430775598837
3,RRY,0.24443173455956443
4,RRY,0.22911546899181406
5,RRY,0.2301576486020207
6,RRY,0.24600533912395595
7,RRY,0.255880912604894
8,RRY,0.27670088993431724
9,RRY,0.2188828698693316
10,RRY,0.19013389705944247
11,RRY,0.18316707569983678
12,RRY,0.21806653770712478
13,RRY,0.21720841332990534
14,RRY,0.1496299488438292
15,RRY,0.14623872863994328
16,RRY,0.1653577595657455
17,RRY,0.06205169921078931
18,RRY,0.03476119185405999
19,RRY,0.047821021211547986
20,RRY,0.046640429597556904
21,RRY,0.04293057906704678
22,RRY,0.04461806447284423
0,RRZ,0.12373674821284546
1,RRZ,0.10846165451781471
2,RRZ,0.14273850277977188
3,RRZ,0.1888649898707064
4,RRZ,0.1916900553411936
5,RRZ,0.22841582601665628
6,RRZ,0.24036672578210685
7,RRZ,0.2567856614734085
8,RRZ,0.32063555065619814
9,RRZ,0.2955327632390461
10,RRZ,0.27326638885271975
11,RRZ,0.2771859811690558
12,RRZ,0.3345319705485689
13,RRZ,0.38984343512729824
14,RRZ,0.33336687654272096
15,RRZ,0.2680906579616582
16,RRZ,0.28870216736103593
17,RRZ,0.1852671693737777
18,RRZ,0.06808571181740873
19,RRZ,0.05834974697032789
20,RRZ,0.05315238452153639
21,RRZ,0.05088544447353703
22,RRZ,0.04871654371449352
0,x+y+z,0.23110148105958786
1,x+y+z,0.2586440493476564
2,x+y+z,0.2680650070159515
3,x+y+z,0.27825096622522466
4,x+y+z,0.2752479791471927
5,x+y+z,0.28639291013549334
6,x+y+z,0.22317070492518
7,x+y+z,0.22080587489200332
8,x+y+z,0.19470827695411583
9,x+y+z,0.07710482057816412
10,x+y+z,0.11298121935161858
11,x+y+z,0.1872575269709529
12,x+y+z,0.22935699854937758
13,x+y+z,0.25765051110449777
14,x+y+z,0.2441580928255645
15,x+y+z,0.3476108478408478
16,x+y+z,0.3788284014886203
17,x+y+z,0.411376755574808
18,x+y+z,0.4105373451165351
19,x+y+z,0.3992994108090892
20,x+y+z,0.33938410085791787
21,x+y+z,0.28063561094806394
22,x+y+z,0.23970858148242752
0,x+y,0.5059967381498475
1,x+y,0.5593953583634181
2,x+y,0.578353010126042
3,x+y,0.5833160239110794
4,x+y,0.5562909233804366
5,x+y,0.4828677478963297
6,x+y,0.3172079648815043
7,x+y,0.23844901268632174
8,x+y,0.14180283330864812
9,x+y,0.13020475681724705
10,x+y,0.18336647098873243
11,x+y,0.22993859440943476
12,x+y,0.24034205872786338
13,x+y,0.23150048935378187
14,x+y,0.18350040327362982
15,x+y,0.2024620083227947
16,x+y,0.2077543180650738
17,x+y,0.1418391730651565
18,x+y,0.11861204519417314
19,x+y,0.11047645810313808
20,x+y,0.13962531402397596
21,x+y,0.12048597570583662
22,x+y,0.19762904856175026
0,y+z,0.1763443948710295
1,y+z,0.1741465476123159
2,y+z,0.168287922464569
3,y+z,0.16108831531778872
4,y+z,0.14988763197436172
5,y+z,0.14097703713266957
6,y+z,0.15796216352195355
7,y+z,0.10850207854991563
8,y+z,0.09476233872736482
9,y+z,0.16586127515111468
10,y+z,0.12938946540431842
11,y+z,0.1333557498082317
12,y+z,0.1264857521546769
13,y+z,0.1364794723900725
14,y+z,0.2038946434978666
15,y+z,0.20798830264117413
16,y+z,0.20661993434264408
17,y+z,0.17593142960736644
18,y+z,0.19704127649690556
19,y+z,0.22757814976493618
20,y+z,0.22353843944731236
21,y+z,0.20644063980679125
22,y+z,0.21423389992887795
0,x+z,0.06986844561178537
1,x+z,0.07929462690423933
2,x+z,0.08730363409186634
3,x+z,0.10498550493064472
4,x+z,0.10949444895958384
5,x+z,0.08836248622747536
6,x+z,0.11625076254894659
7,x+z,0.19588199809344764
8,x+z,0.17260454031646363
9,x+z,0.11021915012947599
10,x+z,0.10354020000847579
11,x+z,0.11673564702947503
12,x+z,0.12925432894392072
13,x+z,0.1594854945462661
14,x+z,0.12974074569481395
15,x+z,0.17571617301992223
16,x+z,0.18164821190599695
17,x+z,0.1990505202421252
18,x+z,0.16876193609813225
19,x+z,0.14224433609811138
20,x+z,0.12058917833219228
21,x+z,0.11814019492452385
22,x+z,0.08645850372387358
0,x*y*z,0.495341307652179
1,x*y*z,0.4818618478140939
2,x*y*z,0.4722429762040427
3,x*y*z,0.47557235944638043
4,x*y*z,0.5717070419971205
5,x*y*z,0.5178126181778748
6,x*y*z,0.5730792384617824
7,x*y*z,0.5635589299893506
8,x*y*z,0.5135153786339351
9,x*y*z,0.6258642640417705
10,x*y*z,0.6275489105115453
11,x*y*z,0.7050637521655655
12,x*y*z,0.6473508767523044
13,x*y*z,0.6735632952442168
14,x*y*z,0.6100838522134653
15,x*y*z,0.6172312396514882
16,x*y*z,0.6988831199389526
17,x*y*z,0.6091476764008543
18,x*y*z,0.6001988649726943
19,x*y*z,0.49031395910383
20,x*y*z,0.4892958752852033
21,x*y*z,0.48820309475874013
22,x*y*z,0.5111865535449017
0,x*y,0.274827304903628
