Timestamp,Feature,Value
0,AccelerationX,0.5482848501606221
1,AccelerationX,0.5029883597893797
2,AccelerationX,0.7260537635015064
3,AccelerationX,0.906483602279385
4,AccelerationX,0.9535292689973832
5,AccelerationX,0.9846805471319893
6,AccelerationX,1.0429989148112673
7,AccelerationX,1.134926486802669
0,AccelerationY,0.6190497747625536
1,AccelerationY,0.5692905604181425
2,AccelerationY,0.64992442859336
3,AccelerationY,0.7235129107483211
4,AccelerationY,0.767347427753347
5,AccelerationY,0.764936520079841
6,AccelerationY,0.7821178530430438
7,AccelerationY,0.8252383776439345
0,AccelerationZ,0.6376445855854944
1,AccelerationZ,0.6053724752069075
2,AccelerationZ,0.6262095998542018
3,AccelerationZ,0.6541219856309646
4,AccelerationZ,0.7507160936022549
5,AccelerationZ,0.7681968522378713
6,AccelerationZ,0.769464025567347
7,AccelerationZ,0.8723321904436813
0,RRX,0.7682862297928968
1,RRX,0.7095470778233555
2,RRX,0.7542511229582647
3,RRX,0.7680897964468519
4,RRX,0.7881714404818375
5,RRX,0.8091281195093106
6,RRX,0.8208870306279946
7,RRX,0.8503727535287918
0,RRY,0.8345546775015261
1,RRY,0.795765212428471
2,RRY,0.8542619039402991
3,RRY,0.8872632583218074
4,RRY,0.9235172261971717
5,RRY,0.9813386787263066
6,RRY,1.0220840737088395
7,RRY,1.0423281695998088
0,RRZ,0.777999659431431
1,RRZ,0.6775726494665928
2,RRZ,0.7002009116738164
3,RRZ,0.6891947814822393
4,RRZ,0.7123862757112975
5,RRZ,0.7594875060947588
6,RRZ,0.7828023282108304
7,RRZ,0.8646606672166364
0,x+y+z,0.9688933597995767
1,x+y+z,0.8919540794342832
2,x+y+z,0.9115194484731985
3,x+y+z,0.9647941059498154
4,x+y+z,0.9876394650168564
5,x+y+z,1.0181181280738292
6,x+y+z,1.0012217917370465
7,x+y+z,1.061439777525994
0,x+y,0.8097528387730727
1,x+y,0.7306662526486958
2,x+y,0.7743844635547603
3,x+y,0.8074571966487183
4,x+y,0.8767893154397248
5,x+y,0.8899345498477418
6,x+y,0.9079971284582359
7,x+y,0.9713509528954956
0,y+z,0.5531343310554908
1,y+z,0.5320383401967937
2,y+z,0.6371327432818645
3,y+z,0.8060684016715034
4,y+z,0.8555034443366607
5,y+z,0.8961937183831604
6,y+z,0.955502538742821
7,y+z,1.0183064271460525
0,x+z,0.6728536181445357
1,x+z,0.6297604798546855
2,x+z,0.7431053457165288
3,x+z,0.8004443320223569
4,x+z,0.8316773295336298
5,x+z,0.8160468114304976
6,x+z,0.8116681489197224
7,x+z,0.9070483094586511
0,x*y*z,0.7388637630565497
1,x*y*z,0.6861030935275421
2,x*y*z,0.8673519873314698
3,x*y*z,0.9633006320451327
4,x*y*z,1.0194269470100934
5,x*y*z,1.030096729254292
6,x*y*z,1.058551759258736
7,x*y*z,1.087401274087125
0,x*y,0.4726227599754001
1,x*y,0.45145868769518843
2,x*y,0.8114494216751054
3,x*y,1.0476449875025524
4,x*y,1.1875070216050028
5,x*y,1.1897045789862823
6,x*y,1.2473651482647512
7,x*y,1.2925008542420282
0,y*z,0.6730454201234958
1,y*z,0.6661908044783466
2,y*z,0.7339238203308801
3,y*z,0.7787118374476908
4,y*z,0.8445699375744123
5,y*z,0.865266672345516
6,y*z,0.8690799772496367
7,y*z,0.8855677473525949
0,x*z,0.6727473992022197
1,x*z,0.6419144777342843
2,x*z,0.8268614548927529
3,x*z,0.877769125902758
4,x*z,0.9282383342836322
5,x*z,0.9284904055728564
6,x*z,0.9322239495735297
7,x*z,0.9771711930660456
0,p+r+w,0.7010888284710391
1,p+r+w,0.63241207523201
2,p+r+w,0.7232990642869205
3,p+r+w,0.7745418564828831
4,p+r+w,0.8418194867816965
5,p+r+w,0.8901281958937612
6,p+r+w,0.9067428863564627
7,p+r+w,0.9429530329475174
0,p+r,0.7271442653334084
1,p+r,0.6947059196256794
2,p+r,0.7588970038426152
3,p+r,0.7814320080842355
4,p+r,0.8086767934311654
5,p+r,0.8421952968160836
6,p+r,0.8685865171527966
7,p+r,0.8762034325682984
0,r+w,0.7686745489425836
1,r+w,0.6827974149588619
2,r+w,0.7682174630026335
3,r+w,0.8051115626442364
4,r+w,0.8612095466228389
5,r+w,0.8942940048717752
6,r+w,0.889856355813241
7,r+w,0.9507441499470349
0,p+w,0.7160540177333345
1,p+w,0.6389112079435573
2,p+w,0.7367212669641003
3,p+w,0.7942183684105301
4,p+w,0.8693879990612658
5,p+w,0.9125682783684509
6,p+w,0.9222406556213212
7,p+w,0.9716822398911263
0,p*r*w,0.7834611144380611
1,p*r*w,0.749298593702781
2,p*r*w,0.8444869002154844
3,p*r*w,0.8738044302347495
4,p*r*w,0.94294246235955
5,p*r*w,0.9946199432473973
6,p*r*w,1.0080611784860911
7,p*r*w,1.0130364337041748
0,p*r,0.8078972127764553
1,p*r,0.7739004063652314
2,p*r,0.8206707044124595
3,p*r,0.8157096104589892
4,p*r,0.8383999190325613
5,p*r,0.8668774235081788
6,p*r,0.8517978371087622
7,p*r,0.8749587795827807
0,r*w,0.8964298889019818
1,r*w,0.8499365868926947
2,r*w,0.9043553662798085
3,r*w,0.9234342155881278
4,r*w,0.9685336008412256
5,r*w,1.0053674254305223
6,r*w,1.0120525599455301
7,r*w,1.0385987498333735
0,p*w,0.8165644149248885
1,p*w,0.7602032953214759
2,p*w,0.8075954081963365
3,p*w,0.8313380530899852
4,p*w,0.8784550834123854
5,p*w,0.9006583410536674
6,p*w,0.9059029047854036
7,p*w,0.9388082540012629
