Timestamp,Feature,Value
0,AccelerationX,0.2519838219918263
1,AccelerationX,0.21236600539260056
2,AccelerationX,0.3855327437835874
3,AccelerationX,0.5076898850433829
4,AccelerationX,0.5523770968260546
5,AccelerationX,0.6214186636024971
6,AccelerationX,0.6354240572444434
7,AccelerationX,0.6853237991195553
0,AccelerationY,0.3646301438114875
1,AccelerationY,0.3048218488320958
2,AccelerationY,0.4397830753722092
3,AccelerationY,0.5670127754073864
4,AccelerationY,0.5876960940273868
5,AccelerationY,0.6299692221829655
6,AccelerationY,0.6802280637802853
7,AccelerationY,0.6675712162364902
0,AccelerationZ,0.3106974750461563
1,AccelerationZ,0.36786355336714294
2,AccelerationZ,0.3922479194668288
3,AccelerationZ,0.4008598216554171
4,AccelerationZ,0.45754391652557724
5,AccelerationZ,0.4490485550058636
6,AccelerationZ,0.43923730046128084
7,AccelerationZ,0.42755473086794055
0,RRX,0.5021244268629073
1,RRX,0.49122535868682227
2,RRX,0.49668007012451976
3,RRX,0.471837861926962
4,RRX,0.4518412709523761
5,RRX,0.4279981948117172
6,RRX,0.4283299289316782
7,RRX,0.421275707494082
0,RRY,0.6577146812185068
1,RRY,0.5804985431296541
2,RRY,0.5634363083233742
3,RRY,0.5856473810712611
4,RRY,0.6503445178843903
5,RRY,0.6367593772123339
6,RRY,0.6370242135665939
7,RRY,0.6722453322844456
0,RRZ,0.6953307706049439
1,RRZ,0.6039033428784852
2,RRZ,0.6472299546192696
3,RRZ,0.6795145409224982
4,RRZ,0.70729108667942
5,RRZ,0.6844527134384529
6,RRZ,0.6098264489143558
7,RRZ,0.6204460900956368
0,x+y+z,0.4835290638459334
1,x+y+z,0.5824382202709932
2,x+y+z,0.5612975489435841
3,x+y+z,0.5546132740095475
4,x+y+z,0.6102336213106402
5,x+y+z,0.6211867293664136
6,x+y+z,0.6932631505329966
7,x+y+z,0.7206689142145989
0,x+y,0.5298716779907456
1,x+y,0.656398006447309
2,x+y,0.6740519539545903
3,x+y,0.6635804568616592
4,x+y,0.5930655865443671
5,x+y,0.5672898863556
6,x+y,0.6964137005078834
7,x+y,0.7490139654770469
0,y+z,0.22835338345839934
1,y+z,0.2165460012299735
2,y+z,0.2823313339603023
3,y+z,0.2838086773642036
4,y+z,0.3590210238682769
5,y+z,0.4242650390461671
6,y+z,0.478523542900135
7,y+z,0.5423831345613631
0,x+z,0.3841713129415076
1,x+z,0.399974990539427
2,x+z,0.41027608452193903
3,x+z,0.49241812848261335
4,x+z,0.5648907453108927
5,x+z,0.5856466194378644
6,x+z,0.5931061315154946
7,x+z,0.5928840749826423
0,x*y*z,0.50505771891296
1,x*y*z,0.53298760344459
2,x*y*z,0.5368234689618869
3,x*y*z,0.6748603185635644
4,x*y*z,0.653401760486447
5,x*y*z,0.7724150482566309
6,x*y*z,0.7907804767398426
7,x*y*z,0.7460837842561957
0,x*y,0.32516135911082755
1,x*y,0.31652004860463284
2,x*y,0.3157832535123154
3,x*y,0.47472709263469326
4,x*y,0.5605296524681869
5,x*y,0.5747724780998839
6,x*y,0.6529727168383603
7,x*y,0.683291489701553
0,y*z,0.2478197107532838
1,y*z,0.3530677751381602
2,y*z,0.5025705672137706
3,y*z,0.6884103092442517
4,y*z,0.8165696222740454
5,y*z,0.903066075274354
6,y*z,0.896875851672267
7,y*z,0.8915729266019106
0,x*z,0.41820851811856863
1,x*z,0.45315698669800997
2,x*z,0.5541493119053091
3,x*z,0.6189469174807603
4,x*z,0.7296195225502752
5,x*z,0.7151943647806233
6,x*z,0.7027691343135757
7,x*z,0.7130950614600149
0,p+r+w,0.3270297966640878
1,p+r+w,0.33905841632460565
2,p+r+w,0.4567082121177427
3,p+r+w,0.4748476436789837
4,p+r+w,0.4694138855674398
5,p+r+w,0.4612441821695842
6,p+r+w,0.41753841484122345
7,p+r+w,0.3783133461064847
0,p+r,0.6034563729975051
1,p+r,0.5138645884218934
2,p+r,0.5586672451179926
3,p+r,0.5042346992644106
4,p+r,0.42831316480076964
5,p+r,0.4255599457012862
6,p+r,0.4400016839387858
7,p+r,0.44165846013225657
0,r+w,0.2511016347600855
1,r+w,0.24695108817630176
2,r+w,0.44523106432748477
3,r+w,0.5026862071293937
4,r+w,0.49749920647255974
5,r+w,0.5044373566779251
6,r+w,0.42728799893223857
7,r+w,0.3714778593804552
0,p+w,0.5226500104660193
1,p+w,0.4998443921367415
2,p+w,0.5957867412193302
3,p+w,0.6268569789406935
4,p+w,0.6583734682628353
5,p+w,0.60937059703909
6,p+w,0.5382438290599043
7,p+w,0.5291943786131061
0,p*r*w,0.8066942634568589
1,p*r*w,0.8415058690938828
2,p*r*w,0.8788653057903749
3,p*r*w,0.8346105026079063
4,p*r*w,0.8564808289607956
5,p*r*w,0.8310749864294326
6,p*r*w,0.6789300224991615
7,p*r*w,0.8004951261497902
0,p*r,0.3596693425098601
1,p*r,0.3679454498635838
2,p*r,0.4060135920664816
3,p*r,0.39386583840432854
4,p*r,0.3791225209220867
5,p*r,0.36955344401913215
6,p*r,0.3608881815127711
7,p*r,0.352039083115418
0,r*w,0.8752203918614044
1,r*w,0.7871035300196478
2,r*w,0.7720743956171239
3,r*w,0.776345392935701
4,r*w,0.7362847647444962
5,r*w,0.7104940656762478
6,r*w,0.674813376352407
7,r*w,0.7925381333292634
0,p*w,0.7516813416184286
1,p*w,0.7410800088421857
2,p*w,0.8369263005396168
3,p*w,0.784639729781633
4,p*w,0.7561043363566201
5,p*w,0.7277272822667356
6,p*w,0.5207774664012094
7,p*w,0.589066507571164
