Timestamp,Feature,Value
0,AccelerationX,0.6478934692047142
1,AccelerationX,0.6223861631050998
2,AccelerationX,0.5720900458205499
3,AccelerationX,0.5165406659749113
4,AccelerationX,0.5074512030241135
5,AccelerationX,0.5188858631108741
6,AccelerationX,0.598224326104027
7,AccelerationX,0.6828953457244316
0,AccelerationY,0.28005669494753194
1,AccelerationY,0.2501272990407749
2,AccelerationY,0.2582629728666669
3,AccelerationY,0.24164242914682785
4,AccelerationY,0.22649496085844967
5,AccelerationY,0.23439737223384663
6,AccelerationY,0.33131840938192125
7,AccelerationY,0.4284846468788921
0,AccelerationZ,0.19996424061003332
1,AccelerationZ,0.2174652299493415
2,AccelerationZ,0.2064311028271661
3,AccelerationZ,0.1759504086109689
4,AccelerationZ,0.13061953153075645
5,AccelerationZ,0.09739223942277599
6,AccelerationZ,0.1410418493463875
7,AccelerationZ,0.18399243177406935
0,RRX,0.379299676944126
1,RRX,0.3354466050723956
2,RRX,0.37165123775342784
3,RRX,0.36754626844314
4,RRX,0.35502836545386446
5,RRX,0.3459246233154378
6,RRX,0.3188557794414764
7,RRX,0.3484029298082081
0,RRY,0.5074767222328959
1,RRY,0.4718959247975156
2,RRY,0.41346383941916615
3,RRY,0.38258117985280726
4,RRY,0.4365360651535592
5,RRY,0.4889258370086625
6,RRY,0.4195816814254783
7,RRY,0.3398052178711254
0,RRZ,0.3265080896793222
1,RRZ,0.3018151990027622
2,RRZ,0.3105125793909619
3,RRZ,0.34885710195869263
4,RRZ,0.3661826175683471
5,RRZ,0.3611992962444943
6,RRZ,0.3756723228990897
7,RRZ,0.47138981191025336
0,x+y+z,0.4073149353863685
1,x+y+z,0.3557368410907076
2,x+y+z,0.35245452424176404
3,x+y+z,0.3089993165194752
4,x+y+z,0.2672721945616802
5,x+y+z,0.3041126052802671
6,x+y+z,0.42484555507906036
7,x+y+z,0.5245987135278194
0,x+y,0.4353607366777548
1,x+y,0.38638914578846884
2,x+y,0.3755986200394266
3,x+y,0.33406851296928036
4,x+y,0.3254548573547404
5,x+y,0.3910229700881514
6,x+y,0.5231240327583007
7,x+y,0.6317429407057071
0,y+z,0.19350006065071956
1,y+z,0.19241632169837805
2,y+z,0.16855350281358225
3,y+z,0.1375125927414152
4,y+z,0.11841456405932642
5,y+z,0.08428569304566581
6,y+z,0.20834439301147212
7,y+z,0.3601871140019247
0,x+z,0.5933856899527717
1,x+z,0.541918822660569
2,x+z,0.5088945963803608
3,x+z,0.449115153539301
4,x+z,0.39769995084269133
5,x+z,0.37926529261352177
6,x+z,0.4431739481028735
7,x+z,0.5163733734660925
0,x*y*z,0.26451881741358996
1,x*y*z,0.2744955006367341
2,x*y*z,0.29628136335579064
3,x*y*z,0.26274485276795456
4,x*y*z,0.3027264021608163
5,x*y*z,0.3268877608195918
6,x*y*z,0.38095567863877855
7,x*y*z,0.4295938659776644
0,x*y,0.24710114844491843
1,x*y,0.22484080583228158
2,x*y,0.20053084548373884
3,x*y,0.21238171230029243
4,x*y,0.2275096922782285
5,x*y,0.23363192799944488
6,x*y,0.2492153063702829
7,x*y,0.3426756271837241
0,y*z,0.15156577215925532
1,y*z,0.17588556435361197
2,y*z,0.25609078273347374
3,y*z,0.3678023154206152
4,y*z,0.36077069109628085
5,y*z,0.37810068080431813
6,y*z,0.3349707915876258
7,y*z,0.33143724775110245
0,x*z,0.24460720624669136
1,x*z,0.21205286196631187
2,x*z,0.2159914769030357
3,x*z,0.2148338699005634
4,x*z,0.2753347870077659
5,x*z,0.2054432316382023
6,x*z,0.16383532644421522
7,x*z,0.21854016987113695
0,p+r+w,0.5228211054092766
1,p+r+w,0.5881158994733786
2,p+r+w,0.5480530044017508
3,p+r+w,0.4747359969202209
4,p+r+w,0.40541081982658106
5,p+r+w,0.3772389501166908
6,p+r+w,0.3444716316241872
7,p+r+w,0.26001738594588175
0,p+r,0.4601558427675837
1,p+r,0.4641721383126439
2,p+r,0.47041874071155976
3,p+r,0.4480170797050801
4,p+r,0.4126230656109052
5,p+r,0.37137437442470783
6,p+r,0.32455664472036916
7,p+r,0.26637801391581944
0,r+w,0.437861836504198
1,r+w,0.39305798408037174
2,r+w,0.37608338577590344
3,r+w,0.37128154711213296
4,r+w,0.3386772619564496
5,r+w,0.3137553934864964
6,r+w,0.29962138169725044
7,r+w,0.385607757438497
0,p+w,0.27011873690561894
1,p+w,0.2607445834167531
2,p+w,0.2383463349132107
3,p+w,0.23466859296351475
4,p+w,0.21523827475503124
5,p+w,0.24831995593519143
6,p+w,0.26740272717322583
7,p+w,0.36238453902826945
0,p*r*w,0.4688331653566339
1,p*r*w,0.44762545849723384
2,p*r*w,0.38310198765265957
3,p*r*w,0.3653769503525088
4,p*r*w,0.3625211381736555
5,p*r*w,0.3634113889013231
6,p*r*w,0.35220646623765467
7,p*r*w,0.3640951562258747
0,p*r,0.19224687227693826
1,p*r,0.18544678808385628
2,p*r,0.16621206168785388
3,p*r,0.19237954125137183
4,p*r,0.18309424906535052
5,p*r,0.21746699712884957
6,p*r,0.1884923404689015
7,p*r,0.2161816345313621
0,r*w,0.3164510301141834
1,r*w,0.30641834481376445
2,r*w,0.2972231037612297
3,r*w,0.3080574703264665
4,r*w,0.3668671441478818
5,r*w,0.3555843908047258
6,r*w,0.3573297954545956
7,r*w,0.38286533760552294
0,p*w,0.3902628693643871
1,p*w,0.37592911262528556
2,p*w,0.36965995095353227
3,p*w,0.36396387039842754
4,p*w,0.3330767890828114
5,p*w,0.31738811500726577
6,p*w,0.27328990157743477
7,p*w,0.22988408814329583
