Timestamp,Feature,Value
0,AccelerationX,0.28250506277619203
1,AccelerationX,0.2962984970298738
2,AccelerationX,0.31124497170318716
3,AccelerationX,0.32489764644795566
4,AccelerationX,0.3600307649132953
5,AccelerationX,0.40144581409977853
6,AccelerationX,0.44327025889988636
7,AccelerationX,0.49204298505629196
8,AccelerationX,0.5399753809064289
9,AccelerationX,0.5853405557940823
10,AccelerationX,0.6138989911405027
11,AccelerationX,0.6276080091200639
12,AccelerationX,0.6233184440059178
13,AccelerationX,0.5764560558266825
14,AccelerationX,0.5464649546931252
15,AccelerationX,0.5081914331335796
16,AccelerationX,0.4786791394035853
17,AccelerationX,0.46759681080614446
18,AccelerationX,0.41933925651522336
19,AccelerationX,0.3860932977671488
20,AccelerationX,0.3932287000465732
21,AccelerationX,0.4040407149201062
22,AccelerationX,0.41130797568895083
0,AccelerationY,0.41125541144248234
1,AccelerationY,0.4217159684120321
2,AccelerationY,0.4371523447437494
3,AccelerationY,0.45109737103372677
4,AccelerationY,0.45639140374453513
5,AccelerationY,0.4669597169730445
6,AccelerationY,0.5128626746366751
7,AccelerationY,0.5881274136246863
8,AccelerationY,0.6607842873674226
9,AccelerationY,0.6888036981579481
10,AccelerationY,0.7562243696447619
11,AccelerationY,0.7814660854757265
12,AccelerationY,0.7734437038775066
13,AccelerationY,0.7628435466111394
14,AccelerationY,0.7284785474781071
15,AccelerationY,0.686555489645848
16,AccelerationY,0.6233679791157976
17,AccelerationY,0.5762552024842895
18,AccelerationY,0.5413152626783954
19,AccelerationY,0.5256913726325626
20,AccelerationY,0.4888656716843447
21,AccelerationY,0.49237989227970896
22,AccelerationY,0.49969075215514264
0,AccelerationZ,0.3871888116325557
1,AccelerationZ,0.37628144741187874
2,AccelerationZ,0.36561894954584767
3,AccelerationZ,0.3640795883522175
4,AccelerationZ,0.4046496286500643
5,AccelerationZ,0.4098686024336238
6,AccelerationZ,0.41084465223146954
7,AccelerationZ,0.4653405852534564
8,AccelerationZ,0.4796892655959804
9,AccelerationZ,0.5720674784474381
10,AccelerationZ,0.5848037067495043
11,AccelerationZ,0.5808619270473946
12,AccelerationZ,0.5887155011725205
13,AccelerationZ,0.5876095480200418
14,AccelerationZ,0.5823324554390719
15,AccelerationZ,0.5191474762730782
16,AccelerationZ,0.5213573359609044
17,AccelerationZ,0.4910346661614466
18,AccelerationZ,0.4666279667163505
19,AccelerationZ,0.49026063347217425
20,AccelerationZ,0.5098476325780924
21,AccelerationZ,0.5254943424875478
22,AccelerationZ,0.5430607388995408
0,RRX,0.6005316181656748
1,RRX,0.5875636613796759
2,RRX,0.6091997844186398
3,RRX,0.6242663198709001
4,RRX,0.6046934424645302
5,RRX,0.5812688981930931
6,RRX,0.5675060463302716
7,RRX,0.5701046114401801
8,RRX,0.6237839369825594
9,RRX,0.6343793590992195
10,RRX,0.6376833357052413
11,RRX,0.6545527616872879
12,RRX,0.6536785319160369
13,RRX,0.6514849107425188
14,RRX,0.642080244097701
15,RRX,0.6470231922843965
16,RRX,0.6255544857129876
17,RRX,0.6018911354010157
18,RRX,0.5486432909636737
19,RRX,0.5102476050971786
20,RRX,0.4830562767322655
21,RRX,0.4440913879538363
22,RRX,0.4346261427724052
0,RRY,0.5760008841534218
1,RRY,0.5715727469901427
2,RRY,0.5787198696208056
3,RRY,0.5605367158984718
4,RRY,0.5641510510464941
5,RRY,0.5678540442655681
6,RRY,0.587690601597362
7,RRY,0.607221294325935
8,RRY,0.5922287777892802
9,RRY,0.5726739783628456
10,RRY,0.5729074613610269
11,RRY,0.5604853576672775
12,RRY,0.5351307274521151
13,RRY,0.5090243524274705
14,RRY,0.47382117828587555
15,RRY,0.42523588826112185
16,RRY,0.4007774998424924
17,RRY,0.35380756001131036
18,RRY,0.31478832622823716
19,RRY,0.2980565872951562
20,RRY,0.2699880574339297
21,RRY,0.2516907397216331
22,RRY,0.25302285116085316
0,RRZ,0.20657382895282797
1,RRZ,0.21019572446209497
2,RRZ,0.23152420276581764
3,RRZ,0.2754619078551045
4,RRZ,0.32750662904144595
5,RRZ,0.4101502183118081
6,RRZ,0.4510183769375565
7,RRZ,0.49147842778351225
8,RRZ,0.5320440207282462
9,RRZ,0.5638654701173275
10,RRZ,0.5520558555553682
11,RRZ,0.5277729048367221
12,RRZ,0.5056227912956857
13,RRZ,0.5144261440670544
14,RRZ,0.5346731577519567
15,RRZ,0.5266992652088681
16,RRZ,0.5197470085663026
17,RRZ,0.49182830849029274
18,RRZ,0.4789646995608917
19,RRZ,0.45777813590166316
20,RRZ,0.4423014568828877
21,RRZ,0.4088265564709373
22,RRZ,0.42005306825385885
0,x+y+z,0.42339230022076796
1,x+y+z,0.40966585326226695
2,x+y+z,0.48156927204151145
3,x+y+z,0.5262695627804422
4,x+y+z,0.5442295147286343
5,x+y+z,0.5760193489270203
6,x+y+z,0.6596682537722914
7,x+y+z,0.7308165586272898
8,x+y+z,0.7688666908390995
9,x+y+z,0.7948707257787946
10,x+y+z,0.826632707213045
11,x+y+z,0.8439307364035389
12,x+y+z,0.8523985596130155
13,x+y+z,0.8594797563670868
14,x+y+z,0.8671614901590888
15,x+y+z,0.8371232954584178
16,x+y+z,0.791049196229127
17,x+y+z,0.7711285204725368
18,x+y+z,0.7196089905095293
19,x+y+z,0.6726577140675333
20,x+y+z,0.6128715497174528
21,x+y+z,0.5966885489467368
22,x+y+z,0.6080184605450005
0,x+y,0.519772576052704
1,x+y,0.5237295162081095
2,x+y,0.5230352233980476
3,x+y,0.5254746954376195
4,x+y,0.5206030058290694
5,x+y,0.5561785074440591
6,x+y,0.603250003200517
7,x+y,0.6458567237785134
8,x+y,0.6557108644347569
9,x+y,0.6878156741582184
10,x+y,0.745130091622959
11,x+y,0.7666397046524709
12,x+y,0.7743968033979065
13,x+y,0.7715378410720725
14,x+y,0.7508076107904871
15,x+y,0.6567824087589339
16,x+y,0.5935248650661045
17,x+y,0.5597345598385551
18,x+y,0.5072819278421028
19,x+y,0.4673988155042014
20,x+y,0.4415637558023021
21,x+y,0.4321354754620133
22,x+y,0.4268101502760329
0,y+z,0.44650543504767004
1,y+z,0.4093778361875941
2,y+z,0.3948502276943114
3,y+z,0.38229609822063954
4,y+z,0.40135197801995537
5,y+z,0.44722304416231257
6,y+z,0.5098919505667266
7,y+z,0.5696244422415837
8,y+z,0.6259839004234262
9,y+z,0.6968809982745048
10,y+z,0.7753187878039683
11,y+z,0.7822333678732039
12,y+z,0.7667322300412482
13,y+z,0.750313583658857
14,y+z,0.7040395151225329
15,y+z,0.6508444934181339
16,y+z,0.6496987136830776
17,y+z,0.649593668447816
18,y+z,0.6327698365715988
19,y+z,0.677467501102465
20,y+z,0.6963930977540195
21,y+z,0.7121344507362024
22,y+z,0.7336474823489706
0,x+z,0.37084811859243066
1,x+z,0.357056948131224
2,x+z,0.40948599270411823
3,x+z,0.4602574757477482
4,x+z,0.4825209381095935
5,x+z,0.5167533794557333
6,x+z,0.53015407203413
7,x+z,0.611366748579337
8,x+z,0.6596453366464946
9,x+z,0.652295479030413
10,x+z,0.6798830497110048
11,x+z,0.6818515393400417
12,x+z,0.6528457941708741
13,x+z,0.6058381180860446
14,x+z,0.5922444694545468
15,x+z,0.54331439249654
16,x+z,0.48060438740594014
17,x+z,0.4658507524715184
18,x+z,0.3693892337022657
19,x+z,0.3224636962598981
20,x+z,0.30168519523049475
21,x+z,0.2841391512260997
22,x+z,0.2701036842177165
0,x*y*z,0.6581787683231847
1,x*y*z,0.657258998430918
2,x*y*z,0.6568555532994562
3,x*y*z,0.6507868046280357
4,x*y*z,0.6415425146001799
5,x*y*z,0.6489457207710473
6,x*y*z,0.7018750827325748
7,x*y*z,0.7522296940709072
8,x*y*z,0.833268115027745
9,x*y*z,0.8420718629419327
10,x*y*z,0.9023713722714604
11,x*y*z,0.901669209139719
12,x*y*z,0.8940386375596201
13,x*y*z,0.881829717544751
14,x*y*z,0.8087992874095903
15,x*y*z,0.7698976620572426
16,x*y*z,0.7299733853850481
17,x*y*z,0.7013806203437445
18,x*y*z,0.6498213994916505
19,x*y*z,0.6577738058328382
20,x*y*z,0.6551992835246326
21,x*y*z,0.6395840041385054
22,x*y*z,0.6619114693489896
0,x*y,0.41827448853544624
1,x*y,0.4169476056615533
2,x*y,0.4162056428783912
3,x*y,0.40397432625519514
4,x*y,0.39347695028138313
5,x*y,0.40475886973614594
6,x*y,0.4770681114445974
7,x*y,0.5887599440512028
8,x*y,0.6914948331659787
9,x*y,0.6975769651539244
10,x*y,0.7101127263131258
11,x*y,0.7243376772860524
12,x*y,0.7026573652711534
13,x*y,0.6348956378764434
14,x*y,0.5441181234265923
15,x*y,0.5031561261378334
16,x*y,0.4712499862535334
17,x*y,0.4806209478641268
18,x*y,0.4707113940689826
19,x*y,0.47301731574168093
20,x*y,0.4999919154915838
21,x*y,0.5144970993366579
22,x*y,0.535301078879763
0,y*z,0.636902884969158
1,y*z,0.6349143490360467
2,y*z,0.626050437724253
3,y*z,0.6186919322925907
4,y*z,0.5938321895366631
5,y*z,0.5782246428039878
6,y*z,0.6093748038700982
7,y*z,0.6403709342102449
8,y*z,0.6931419699533841
9,y*z,0.746786778388117
10,y*z,0.8479342010638747
11,y*z,0.8757932051400416
12,y*z,0.8919180218700363
13,y*z,0.9089375855216367
14,y*z,0.8904346976629819
15,y*z,0.86304905743704
16,y*z,0.7496639623941743
17,y*z,0.6766766303582856
18,y*z,0.6522640853634821
19,y*z,0.6693410657530445
20,y*z,0.6789934052480388
21,y*z,0.6789484714055859
22,y*z,0.7010092530023103
0,x*z,0.45619671969883746
1,x*z,0.44847037156713476
2,x*z,0.4474388006932319
3,x*z,0.4582773783986958
4,x*z,0.49976459013500135
5,x*z,0.5300149930083705
6,x*z,0.5668750194956769
7,x*z,0.598655320678288
8,x*z,0.5931154434821733
9,x*z,0.654512415127079
10,x*z,0.6849225183626408
11,x*z,0.6855521787886057
12,x*z,0.6867695902251635
13,x*z,0.6893389245174796
14,x*z,0.661823823137765
15,x*z,0.5860190645218939
16,x*z,0.5595070873315937
17,x*z,0.5646145577438001
18,x*z,0.5469166411846988
19,x*z,0.5346896187966984
20,x*z,0.5216381228119934
21,x*z,0.5367523085486229
22,x*z,0.570630742706824
0,p+r+w,0.44000043677546463
1,p+r+w,0.41814621476277225
2,p+r+w,0.39957830055795823
3,p+r+w,0.39429264065967623
4,p+r+w,0.42612989048524635
5,p+r+w,0.47505503326519694
6,p+r+w,0.4812381230839536
7,p+r+w,0.5105873017676011
8,p+r+w,0.5380983652445932
9,p+r+w,0.5962637032423911
10,p+r+w,0.6150779470930506
11,p+r+w,0.6000708234585339
12,p+r+w,0.6052928373184437
13,p+r+w,0.6099746127501957
14,p+r+w,0.6042116367000543
15,p+r+w,0.5695267863394816
16,p+r+w,0.5680085024367547
17,p+r+w,0.5449902975381042
18,p+r+w,0.5304366123929323
19,p+r+w,0.5381114947487022
20,p+r+w,0.5403319328483169
21,p+r+w,0.5389389349678199
22,p+r+w,0.5545046111063227
0,p+r,0.5112545128935709
1,p+r,0.48336418623268046
2,p+r,0.46566933659706555
3,p+r,0.4769626325078753
4,p+r,0.5469943471834263
5,p+r,0.5928190856939771
6,p+r,0.6131074184280764
7,p+r,0.6371622588732289
8,p+r,0.6575774879216063
9,p+r,0.699233587013248
10,p+r,0.7220777144738305
11,p+r,0.7294296766433762
12,p+r,0.723668247132529
13,p+r,0.7199495971556817
14,p+r,0.680359105798401
15,p+r,0.6177632545511329
16,p+r,0.5937837539907991
17,p+r,0.57773100423549
18,p+r,0.5299336987131924
19,p+r,0.49766452599734345
20,p+r,0.4736746241007636
21,p+r,0.4740777349712193
22,p+r,0.5218114683839158
0,r+w,0.6793579323535992
1,r+w,0.6572597396318647
2,r+w,0.6306154464364847
3,r+w,0.5994345213588461
4,r+w,0.565294427672655
5,r+w,0.5337198074355171
6,r+w,0.5231455102536767
7,r+w,0.5089414918429325
8,r+w,0.5179331107473836
9,r+w,0.5460656037134458
10,r+w,0.5695710252535526
11,r+w,0.5894841394521952
12,r+w,0.6227968593628915
13,r+w,0.6457122773452996
14,r+w,0.6381378522852568
15,r+w,0.6357184945007422
16,r+w,0.6221198427499385
17,r+w,0.5953647687480069
18,r+w,0.5526928242811467
19,r+w,0.5147759669672541
20,r+w,0.5031898983395489
21,r+w,0.4825659807180224
22,r+w,0.4668981767614874
0,p+w,0.2565649112754013
1,p+w,0.25031363309160004
2,p+w,0.265829205249751
3,p+w,0.3024700174559317
4,p+w,0.3670865753470053
5,p+w,0.39815500844348195
6,p+w,0.41722027862463357
7,p+w,0.46947096432389135
8,p+w,0.5075728570990661
9,p+w,0.5489914399237851
10,p+w,0.5350489484667225
11,p+w,0.5286135743585997
12,p+w,0.5489919689328798
13,p+w,0.5266625010366235
14,p+w,0.50104247364907
15,p+w,0.47771611723623725
16,p+w,0.4616143787136983
17,p+w,0.4250181797733442
18,p+w,0.41196861293714804
19,p+w,0.4127404713026052
20,p+w,0.42042271290269667
21,p+w,0.42868889366356094
22,p+w,0.43621368702348984
0,p*r*w,0.3816157239137993
1,p*r*w,0.38080177236512336
2,p*r*w,0.37892259858130556
3,p*r*w,0.3682101072069731
4,p*r*w,0.3746068004658871
5,p*r*w,0.4846042335851953
6,p*r*w,0.6786462563035887
7,p*r*w,0.711758687058925
8,p*r*w,0.7206794562098352
9,p*r*w,0.746042396357782
10,p*r*w,0.775111448927406
11,p*r*w,0.7738246016977286
12,p*r*w,0.6965528883215004
13,p*r*w,0.6186410563893251
14,p*r*w,0.5449922139247172
15,p*r*w,0.5102635883078163
16,p*r*w,0.48297905147092357
17,p*r*w,0.4331337720074666
18,p*r*w,0.437460116199766
19,p*r*w,0.45954140421085204
20,p*r*w,0.4713659851943455
21,p*r*w,0.4943210146125919
22,p*r*w,0.5252504187763067
0,p*r,0.2657655328679192
1,p*r,0.25853406911596066
2,p*r,0.25480740491171244
3,p*r,0.2568093681446432
4,p*r,0.2788434651966658
5,p*r,0.30931527015794547
6,p*r,0.48426661528296955
7,p*r,0.616623325386297
8,p*r,0.7002168396885279
9,p*r,0.7177392496186771
10,p*r,0.7546895903509143
11,p*r,0.7608980337403366
12,p*r,0.7192924353673615
13,p*r,0.5942196377879114
14,p*r,0.4518131775099121
15,p*r,0.40185628935360196
16,p*r,0.38869763488395404
17,p*r,0.37292853813572346
18,p*r,0.3354815806045471
19,p*r,0.34536987875475683
20,p*r,0.3685951482410058
21,p*r,0.3883279977309832
22,p*r,0.42419392572881676
0,r*w,0.5707189271341633
1,r*w,0.563137670995507
2,r*w,0.5607937320851681
3,r*w,0.541532097104557
4,r*w,0.5480029792312915
5,r*w,0.6293861609680518
6,r*w,0.7173858949144281
7,r*w,0.7197748693594501
8,r*w,0.7341936656082404
9,r*w,0.7685954150021519
10,r*w,0.7809925743735926
11,r*w,0.7356306538448968
12,r*w,0.6865696776396719
13,r*w,0.6868550102429403
14,r*w,0.67616674187003
15,r*w,0.6650969649744916
16,r*w,0.6244840958843136
17,r*w,0.5776620754224605
18,r*w,0.5361316823843578
19,r*w,0.5089281686449934
20,r*w,0.45199295595046035
21,r*w,0.41688220998130104
22,r*w,0.399499971993917
0,p*w,0.3598801067096864
1,p*w,0.35069313999113877
2,p*w,0.3605471415526961
3,p*w,0.43692342281223856
4,p*w,0.5233529707196819
5,p*w,0.5694853187666439
6,p*w,0.6540922024812583
7,p*w,0.7060160274683971
8,p*w,0.7762540589174858
9,p*w,0.78959025755913
10,p*w,0.7592794951876889
11,p*w,0.7570287298473938
12,p*w,0.7447064314202632
13,p*w,0.7020447272449273
14,p*w,0.6731086354847327
15,p*w,0.6319188937577541
16,p*w,0.5373538820368609
17,p*w,0.492571802770821
18,p*w,0.48331216512502106
19,p*w,0.4546595265312033
20,p*w,0.4192512078918532
21,p*w,0.3818513588266423
22,p*w,0.39477416830159084
