Timestamp,Feature,Value
0,AccelerationX,0.6845837768107789
1,AccelerationX,0.728615156015209
2,AccelerationX,0.7599494419856189
3,AccelerationX,0.7345235692385375
4,AccelerationX,0.7213070488656537
5,AccelerationX,0.7235534016424624
6,AccelerationX,0.7370297412870014
7,AccelerationX,0.8046877327401587
0,AccelerationY,0.8206876532137304
1,AccelerationY,0.736757787819676
2,AccelerationY,0.7345008823405966
3,AccelerationY,0.7740973647055278
4,AccelerationY,0.8573778337214448
5,AccelerationY,0.8396348243637701
6,AccelerationY,0.8236072703494286
7,AccelerationY,0.8371448523058082
0,AccelerationZ,0.4268581224569589
1,AccelerationZ,0.4826300418141173
2,AccelerationZ,0.48595168589155757
3,AccelerationZ,0.500379154521751
4,AccelerationZ,0.5475337542424431
5,AccelerationZ,0.6381043097231011
6,AccelerationZ,0.690816623833832
7,AccelerationZ,0.7747210596269719
0,RRX,0.5387318975897945
1,RRX,0.444569641657857
2,RRX,0.42941452637077077
3,RRX,0.4142475146331095
4,RRX,0.47254234970902
5,RRX,0.5335459918960981
6,RRX,0.5857957299428845
7,RRX,0.6515054271944755
0,RRY,0.6944786308054477
1,RRY,0.6502836582057173
2,RRY,0.5941033269020298
3,RRY,0.5659143612113325
4,RRY,0.5771728675908989
5,RRY,0.6196152027279757
6,RRY,0.646165528904703
7,RRY,0.7380973812194953
0,RRZ,0.5418887597885188
1,RRZ,0.4967860030080279
2,RRZ,0.49019786787542835
3,RRZ,0.5063302658517544
4,RRZ,0.5323017605539757
5,RRZ,0.5409172323926896
6,RRZ,0.5159419962995155
7,RRZ,0.5354008506174182
0,x+y+z,0.9339348950804445
1,x+y+z,0.8740347899562779
2,x+y+z,0.8437473271174551
3,x+y+z,0.8650897220034466
4,x+y+z,0.8522472181670149
5,x+y+z,0.8724465238727019
6,x+y+z,0.8711933265294063
7,x+y+z,0.926581253954134
0,x+y,0.769938955142552
1,x+y,0.6934089140838724
2,x+y,0.7069379629651801
3,x+y,0.7045834682364919
4,x+y,0.7531944095401315
5,x+y,0.7630257022490667
6,x+y,0.768723199160356
7,x+y,0.8052718762247533
0,y+z,0.9110083934611214
1,y+z,0.8615702046734296
2,y+z,0.854222639110215
3,y+z,0.9281524669111624
4,y+z,0.9197095182441862
5,y+z,0.8992938017941962
6,y+z,0.8807243895517713
7,y+z,0.9066366555679561
0,x+z,0.4349199784629393
1,x+z,0.44004411892192197
2,x+z,0.4285057460574897
3,x+z,0.4260609916827741
4,x+z,0.45811454102481075
5,x+z,0.515966819703193
6,x+z,0.56804919273001
7,x+z,0.6861107796754882
0,x*y*z,0.8119548062356775
1,x*y*z,0.7994881105746974
2,x*y*z,0.8128859589605697
3,x*y*z,0.7988511248336082
4,x*y*z,0.7924381015310351
5,x*y*z,0.811957507124296
6,x*y*z,0.8535509380466656
7,x*y*z,0.9572444526658984
0,x*y,0.590311189712009
1,x*y,0.5429602781275
2,x*y,0.5605842301453989
3,x*y,0.5379798083931256
4,x*y,0.5660511498608422
5,x*y,0.6577785020426963
6,x*y,0.7259050486186878
7,x*y,0.8322948873164586
0,y*z,0.8877792565745668
1,y*z,0.8610368670736819
2,y*z,0.8247177526951315
3,y*z,0.8481333145085027
4,y*z,0.8530867660449508
5,y*z,0.8580609004005493
6,y*z,0.8282726218204907
7,y*z,0.9255138122040957
0,x*z,0.4957637632131816
1,x*z,0.6008140398180539
2,x*z,0.6734083034869437
3,x*z,0.7355917217686566
4,x*z,0.7917461605898009
5,x*z,0.8091246638718456
6,x*z,0.8933818521361384
7,x*z,0.9933690402109268
0,p+r+w,0.44496155025700407
1,p+r+w,0.3724427011078422
2,p+r+w,0.36675325874104575
3,p+r+w,0.3666600754884625
4,p+r+w,0.38454610911309606
5,p+r+w,0.3931057098995728
6,p+r+w,0.3870604600889649
7,p+r+w,0.42143952589123007
0,p+r,0.4941984633117425
1,p+r,0.3988408317894092
2,p+r,0.3934899300977776
3,p+r,0.3980735606483372
4,p+r,0.43039193962947503
5,p+r,0.4594598036259467
6,p+r,0.4806366011447395
7,p+r,0.5517306370541433
0,r+w,0.40876786015143135
1,r+w,0.3737966189414757
2,r+w,0.38074067454164556
3,r+w,0.406403047922391
4,r+w,0.4378214897469095
5,r+w,0.4491923654507713
6,r+w,0.43415116055703484
7,r+w,0.4600989062242408
0,p+w,0.4822280892445868
1,p+w,0.41592278828875173
2,p+w,0.41568468580725276
3,p+w,0.41281339746237966
4,p+w,0.43794531869842057
5,p+w,0.45597749743305577
6,p+w,0.4642351062534203
7,p+w,0.49112771538188676
0,p*r*w,0.8233316121998443
1,p*r*w,0.76817976829418
2,p*r*w,0.755491635482089
3,p*r*w,0.7288440501432116
4,p*r*w,0.7483647492305611
5,p*r*w,0.7688720828916762
6,p*r*w,0.7740004647187527
7,p*r*w,0.7657596547551361
0,p*r,0.6040040627574061
1,p*r,0.6212057932343511
2,p*r,0.6506849902011479
3,p*r,0.6467171487198786
4,p*r,0.6839795880226879
5,p*r,0.6898659201608099
6,p*r,0.6671776516772092
7,p*r,0.7707381635260975
0,r*w,0.8365929205235924
1,r*w,0.8133083603175782
2,r*w,0.7945082341345271
3,r*w,0.758797662856974
4,r*w,0.7456759054862667
5,r*w,0.8029951767986905
6,r*w,0.8102952778540602
7,r*w,0.7941515464232767
0,p*w,0.7389863045273495
1,p*w,0.776621105484223
2,p*w,0.7971495653702756
3,p*w,0.7808271568858356
4,p*w,0.7369600072668223
5,p*w,0.7269927142182775
6,p*w,0.7218842582565335
7,p*w,0.7818417165938039
