Timestamp,Feature,Value
0,AccelerationX,0.0990526271264338
1,AccelerationX,0.08472851375964706
2,AccelerationX,0.07457775777539365
3,AccelerationX,0.08455365970711173
4,AccelerationX,0.08617896835643742
5,AccelerationX,0.07204288568290594
6,AccelerationX,0.07389232615657375
7,AccelerationX,0.06615298776590003
8,AccelerationX,0.178867214004279
9,AccelerationX,0.24668727259859227
10,AccelerationX,0.306530191665101
11,AccelerationX,0.31204771366366596
12,AccelerationX,0.3177822515237051
13,AccelerationX,0.32498458227943033
14,AccelerationX,0.30942971175011946
15,AccelerationX,0.27360395534691767
16,AccelerationX,0.21609273944924692
17,AccelerationX,0.15834337178536073
18,AccelerationX,0.10230883348591269
19,AccelerationX,0.0799110310663742
20,AccelerationX,0.06577608333362138
21,AccelerationX,0.07130674420361413
22,AccelerationX,0.046037299822446844
0,AccelerationY,0.0640777556151946
1,AccelerationY,0.06082675158402213
2,AccelerationY,0.06437365949264903
3,AccelerationY,0.0770226537218685
4,AccelerationY,0.09501667402628378
5,AccelerationY,0.10724418689793357
6,AccelerationY,0.10775761939342282
7,AccelerationY,0.08408850466307369
8,AccelerationY,0.07402704884615906
9,AccelerationY,0.07146065534802488
10,AccelerationY,0.09660948679366928
11,AccelerationY,0.1137661001384813
12,AccelerationY,0.11492223721743741
13,AccelerationY,0.11774741122652316
14,AccelerationY,0.1134284505640583
15,AccelerationY,0.09728208227342627
16,AccelerationY,0.08740330251546186
17,AccelerationY,0.08304981378203828
18,AccelerationY,0.04382728340004469
19,AccelerationY,0.028601457634281187
20,AccelerationY,0.03371802568452686
21,AccelerationY,0.04277910816098293
22,AccelerationY,0.07422494161237798
0,AccelerationZ,0.22918231359782454
1,AccelerationZ,0.21994543185907733
2,AccelerationZ,0.20518336114202637
3,AccelerationZ,0.1935159556375571
4,AccelerationZ,0.19206311189972572
5,AccelerationZ,0.17805404722431795
6,AccelerationZ,0.16294395462661418
7,AccelerationZ,0.1513680646746623
8,AccelerationZ,0.13643426276255743
9,AccelerationZ,0.13615971529359583
10,AccelerationZ,0.13293704944726614
11,AccelerationZ,0.13118674455326299
12,AccelerationZ,0.16048986093026077
13,AccelerationZ,0.17480178240452168
14,AccelerationZ,0.2029236962713201
15,AccelerationZ,0.2092018820621132
16,AccelerationZ,0.21126715835507498
17,AccelerationZ,0.21675298628323383
18,AccelerationZ,0.21543493928523105
19,AccelerationZ,0.21172022187706654
20,AccelerationZ,0.18006098185800426
21,AccelerationZ,0.19732929641429608
22,AccelerationZ,0.16263242125939278
0,RRX,0.04132846102334235
1,RRX,0.04516441075130213
2,RRX,0.03947451204227277
3,RRX,0.03130978437595274
4,RRX,0.03652019882476347
5,RRX,0.056391446069514406
6,RRX,0.06278175863664824
7,RRX,0.07820317668465664
8,RRX,0.10535748799807164
9,RRX,0.14577435069260572
10,RRX,0.1603387474746299
11,RRX,0.1609659675764981
12,RRX,0.1939467772828615
13,RRX,0.1601256739643676
14,RRX,0.1575970507738087
15,RRX,0.14417518634503326
16,RRX,0.13547786025820774
17,RRX,0.12823106669492507
